20260909 201100;29744.25;29744.25;29741.5;29741.5;4
20260909 201200;29743;29746.25;29743;29746.25;5
20260909 201300;29743;29743;29743;29743;1
20260909 201400;29747;29750;29747;29750;3
20260909 201500;29747.25;29747.25;29747.25;29747.25;1
20260909 201600;29741;29745.5;29741;29745.5;2
20260909 201700;29739;29739;29739;29739;1
20260909 202300;29744;29746;29743.5;29746;5
20260909 202700;29746;29746;29746;29746;1
20260909 202900;29744;29744;29744;29744;1
20260909 203100;29742;29742;29741;29741;3
20260909 203200;29745;29745.25;29745;29745.25;2
20260909 203300;29743.5;29743.5;29743.5;29743.5;1
20260909 203400;29743.5;29743.75;29743.5;29743.75;3
20260909 203500;29746.25;29746.25;29746.25;29746.25;4
20260909 203600;29747;29747;29747;29747;1
20260909 203700;29750;29752.75;29750;29752.75;6
20260909 203900;29748.75;29750;29748.75;29750;2
20260909 204000;29748.75;29748.75;29748.75;29748.75;1
20260909 204100;29749.25;29749.25;29749.25;29749.25;1
20260909 204200;29750;29750;29750;29750;1
20260909 204400;29749.5;29749.5;29749.5;29749.5;1
20260909 204500;29747.25;29747.25;29747.25;29747.25;2
20260909 204600;29747;29747;29747;29747;1
20260909 204700;29747.25;29747.25;29747.25;29747.25;2
20260909 204800;29749;29749;29749;29749;4
20260909 204900;29746;29746;29746;29746;2
20260909 205000;29745.5;29745.5;29744.5;29744.5;6
20260909 205300;29747.75;29747.75;29747.75;29747.75;1
20260909 205500;29742.5;29742.5;29742.5;29742.5;1
20260909 205600;29742.75;29749.75;29742.75;29749.75;3
20260909 205700;29749.75;29749.75;29745;29745;2
20260909 210000;29745.5;29750;29745.5;29749;8
20260909 220100;29757.75;29757.75;29757.75;29757.75;9
20260909 220200;29757.75;29768;29755;29755;7
20260909 220300;29753.75;29753.75;29729.75;29729.75;12
20260909 220400;29730;29741;29730;29733;4
20260909 220500;29743;29743;29730;29730;11
20260909 220600;29730;29730;29729;29729;2
20260909 220700;29728;29730.5;29723.75;29723.75;4
20260909 220800;29726;29726;29722.25;29722.25;3
20260909 221000;29720;29721.25;29720;29721.25;4
20260909 221100;29732.25;29734.75;29730.5;29730.5;3
20260909 221200;29725.25;29725.25;29723.75;29723.75;4
20260909 221300;29728.25;29731;29728.25;29728.5;4
20260909 221400;29726.5;29726.5;29721.75;29721.75;4
20260909 221500;29723;29723;29723;29723;1
20260909 221600;29722.5;29723.75;29720.25;29723.75;6
20260909 221800;29721.25;29721.25;29721.25;29721.25;1
20260909 222100;29719;29719;29719;29719;1
20260909 222200;29723.25;29723.25;29723.25;29723.25;1
20260909 222300;29723.25;29723.25;29723.25;29723.25;2
20260909 222400;29720.5;29723.5;29720.5;29723.5;2
20260909 222500;29722;29722;29722;29722;1
20260909 222800;29726;29726;29726;29726;1
20260909 222900;29727.5;29727.5;29722.5;29724.5;11
20260909 223000;29722.75;29724;29721.5;29724;7
20260909 223200;29731;29731;29726;29726;8
20260909 223500;29726;29726;29726;29726;1
20260909 223600;29729;29729;29729;29729;1
20260909 223800;29729.5;29729.5;29727;29727.25;4
20260909 224000;29727.75;29727.75;29727.75;29727.75;1
20260909 224200;29727.75;29728.5;29727.75;29728.5;4
20260909 224400;29728.5;29730.75;29728.5;29730.75;2
20260909 224500;29730;29730;29728.75;29728.75;5
20260909 224700;29728;29728;29728;29728;1
20260909 225200;29725;29725;29722.25;29722.25;3
20260909 225300;29723.75;29725;29723.75;29725;3
20260909 225500;29722;29723;29721.75;29723;6
20260909 225600;29724;29724;29724;29724;1
20260909 225700;29720;29720;29720;29720;1
20260909 225800;29721;29721.5;29720.5;29720.5;4
20260909 225900;29721.5;29723.5;29721.5;29723.5;2
20260909 230400;29724;29725.5;29724;29725.5;2
20260909 230600;29723.5;29723.5;29723.5;29723.5;2
