time,taker_buy_vol,taker_sell_vol,cum_vol_delta
1778695200000,16326117.9868,16182834.345,-1022982203.5512
1778698800000,6307973.3161,10800393.0561,-1027474623.2912
1778702400000,5472869.0789,5554674.2029,-1027556428.4152
1778706000000,3140159.9841,5173238.06,-1029589506.4911
1778709600000,4527027.1813,4975983.3339,-1030038462.6437
1778713200000,4076344.3147,3771432.0862,-1029733550.4152
1778716800000,7553858.6283,7143130.7062,-1029322822.4931
1778720400000,3999060.3052,5849163.4149,-1031172925.6028
1778724000000,4896130.0896,13620621.5752,-1039897417.0884
1778727600000,8893007.5064,12134670.1664,-1043139079.7484
1778731200000,6836690.4089,4736626.9225,-1041039016.262
1778734800000,13423431.7568,10012485.0614,-1037628069.5666
1778738400000,8372863.5385,10012419.1218,-1039267625.1499
1778742000000,6223129.5775,5161834.7111,-1038206330.2835
1778745600000,9148906.0681,7651473.5188,-1036708897.7342
1778749200000,9315423.4884,9469253.2074,-1036862727.4532
1778752800000,8471825.5588,7618053.9204,-1036008955.8148
1778756400000,11743342.6027,6736267.6955,-1031001880.9076
1778760000000,8484862.8218,10099473.1427,-1032616491.2285
1778763600000,13992187.0149,20944989.4524,-1039569293.666
1778767200000,30245581.8958,21266360.7706,-1030590072.5408
1778770800000,25601747.2023,25604969.6152,-1030593294.9537
1778774400000,36573465.3704,29364773.1909,-1023384602.7742
1778778000000,22007535.4791,25613630.5892,-1026990697.8843
1778781600000,14244091.8526,13227127.8462,-1025973733.8779
1778785200000,9618269.8654,13802468.7243,-1030157932.7368
1778788800000,9012787.2004,10584941.8796,-1031730087.416
1778792400000,9520945.5315,6248457.9729,-1028457599.8574
1778796000000,5578800.0962,4594514.9498,-1027473314.711
1778799600000,7671386.2521,12441670.4915,-1032243598.9504
1778803200000,10239076.1743,11194766.6452,-1033199289.4213
1778806800000,8487862.4767,23605846.1188,-1048317273.0634
1778810400000,14386682.8798,33700868.9157,-1067631459.0993
1778814000000,6244939.9217,21830511.7087,-1083217030.8863
1778817600000,4848199.4789,7379214.0571,-1085748045.4645
1778821200000,21964433.172,34951886.0965,-1098735498.389
1778824800000,9601477.5175,8981327.7362,-1098115348.6077
1778828400000,13582069.5414,12150825.2658,-1096684104.3321
1778832000000,12095798.1583,12572670.5615,-1097160976.7353
1778835600000,6272423.3498,6228000.8273,-1097116554.2128
1778839200000,9267222.0981,8500842.5887,-1096350174.7034
1778842800000,7187024.2891,7348714.4083,-1096511864.8226
1778846400000,7127551.5025,9463727.0835,-1098848040.4036
1778850000000,37303530.4284,57279325.9752,-1118823835.9504
1778853600000,36254245.0048,44824704.2105,-1127394295.1561
1778857200000,15215704.202,11251936.4221,-1123430527.3762
1778860800000,13220044.3958,12533728.1038,-1122744211.0842
1778864400000,10510110.3196,9175618.7411,-1121409719.5057
1778868000000,8109650.8436,6858227.7218,-1120158296.3839
1778871600000,5252640.3814,7490688.2769,-1122396344.2794
1778875200000,5735903.7479,8055026.1667,-1124715466.6982
1778878800000,4604809.8661,7115785.7274,-1127226442.5595
1778882400000,5052596.033,6098520.0078,-1128272366.5343
1778886000000,3576800.1015,2699427.7792,-1127394994.212
1778889600000,4351739.1989,3005830.2694,-1126049085.2825
1778893200000,3073570.8529,3563900.8233,-1126539415.2529
1778896800000,3371088.5197,2347855.3779,-1125516182.1111
1778900400000,2551353.1597,2642328.7067,-1125607157.6581
1778904000000,4354830.158,4920254.4132,-1126172581.9133
1778907600000,2685535.6904,2458769.9451,-1125945816.168
1778911200000,8720025.0114,9146081.5068,-1126371872.6634
1778914800000,40312366.7887,43740369.5691,-1129799875.4438
1778918400000,5377511.3768,7852187.0461,-1132274551.1131
1778922000000,24667284.7995,35971874.8207,-1143579141.1343
1778925600000,15487695.052,25490430.6019,-1153581876.6842
1778929200000,16352809.3727,12810537.3013,-1150039604.6128
1778932800000,9301047.5125,8137554.4994,-1148876111.5997
1778936400000,8690161.1013,10407096.3511,-1150593046.8495
1778940000000,11455125.73,12788951.2458,-1151926872.3653
1778943600000,7681745.7437,14657434.6144,-1158902561.236
1778947200000,10421432.0374,19453032.613,-1167934161.8116
1778950800000,4247856.5595,3255930.2974,-1166942235.5495
1778954400000,6079900.4177,2374081.8789,-1163236417.0107
1778958000000,2669791.9298,1965912.883,-1162532537.9639
1778961600000,2423460.833,1659630.0524,-1161768707.1833
1778965200000,2276369.9174,1821337.8026,-1161313675.0685
1778968800000,1794783.8078,2246046.4618,-1161764937.7225
1778972400000,2270100.5548,2352931.9858,-1161847769.1535
