time,agg_taker_buy_vol,agg_taker_sell_vol,cum_vol_delta
1777942800000,10297601.7248,8803596.7065,-234029489.3001
1777946400000,26124078.2371,20277347.3475,-228182758.4105
1777950000000,39584889.5481,43308199.0607,-231906067.9231
1777953600000,17641072.3993,19369330.5956,-233634326.1194
1777957200000,33681301.967,28055917.6822,-228008941.8346
1777960800000,18970408.1644,28270777.37,-237309311.0402
1777964400000,28822752.2903,30925160.2124,-239411718.9623
1777968000000,11976616.5445,16096045.0568,-243531147.4746
1777971600000,11406469.8497,18091339.8436,-250216017.4685
1777975200000,18851568.4265,9554446.6929,-240918895.7349
1777978800000,16248770.0548,14647676.4872,-239317802.1673
1777982400000,23616949.9956,19809165.0264,-235510017.1981
1777986000000,62526501.6296,56293900.3227,-229277415.8912
1777989600000,48897767.5026,54186471.4624,-234566119.851
1777993200000,20443657.8652,23659133.0847,-237781595.0705
1777996800000,32888753.666,37101879.538,-241994720.9425
1778000400000,19524216.2628,20910693.6141,-243381198.2938
1778004000000,16679705.7815,13021204.1404,-239722696.6527
1778007600000,9748785.5778,8869530.444,-238843441.5189
1778011200000,33050970.1808,19457493.5481,-225249964.8862
1778014800000,16533360.6433,18590639.4316,-227307243.6745
1778018400000,26352179.5595,37022920.5965,-237977984.7115
1778022000000,16301943.1561,23879988.9551,-245556030.5105
1778025600000,19928459.75,17009562.7907,-242637133.5512
1778029200000,19617706.9619,19796777.62,-242816204.2093
1778032800000,13244827.3084,13622585.9071,-243193962.808
1778036400000,17801552.4955,14607631.6208,-240000041.9333
1778040000000,12931323.7099,19733110.0621,-246801828.2855
1778043600000,18170615.2173,23595919.3132,-252227132.3814
1778047200000,16614222.2366,11657903.0317,-247270813.1765
1778050800000,17743481.2093,13546509.6679,-243073841.6351
1778054400000,49325979.6793,30692853.5724,-224440715.5282
1778058000000,104175673.3465,92759108.2897,-213024150.4714
1778061600000,37412479.1841,39744636.3977,-215356307.685
1778065200000,58484600.3215,66836887.9976,-223708595.3611
1778068800000,40026763.4873,43858136.8934,-227539968.7672
1778072400000,79678807.8708,95042444.1667,-242903605.0631
1778076000000,91529114.7072,108053325.142,-259427815.4979
1778079600000,38075510.2689,44915639.337,-266267944.566
1778083200000,33466049.4859,46640268.6048,-279442163.6849
1778086800000,18537407.9244,31423338.3579,-292328094.1184
1778090400000,30753881.1825,40668017.1583,-302242230.0942
1778094000000,14987485.478,16574550.0647,-303829294.6809
1778097600000,21556847.7368,32345211.3861,-314617658.3302
